SN name, Target ID, Observation Date (MJD), Filter, U Mag, Filter, B Mag, Filter, V Mag, Filter, UVM2 Mag, Filter, UVW1 Mag, Filter, UVW2 Mag
SN2006jc,00030810004,54025.18914351852,U Filter,10.941146117589028,B Filter,11.866969482047319,V Filter,11.616928831680402,UVM2 Filter,11.511050034312339,UVW1 Filter,11.246147725819432,UVW2 Filter,11.938159443332196
SN2006jc,00030810007,54028.4669212963,U Filter,11.213438351713716,B Filter,12.152143389443033,V Filter,11.905936813126836,UVM2 Filter,11.929936472471518,UVW1 Filter,11.620141131928477,UVW2 Filter,13.262028202988366
SN2006jc,00030810017,54043.0544212963,U Filter,12.768982569588779,B Filter,11.514267801548009,V Filter,9.524722609898022,UVM2 Filter,12.898015021825795,UVW1 Filter,11.980475983397973,UVW2 Filter,10.069509276987262
SN2007od,00031003004,54413.45061921296,U Filter,12.313130507381981,B Filter,12.81357609384304,V Filter,12.475617275060827,UVM2 Filter,14.092833481272022,UVW1 Filter,11.926834650861796,UVW2 Filter,9.805787726584866
SN2008M,00031102003,54495.49435763889,U Filter,11.904958258181212,B Filter,12.82416446777282,V Filter,12.882936890226791,UVM2 Filter,12.446928954720178,UVW1 Filter,11.759046799698726,UVW2 Filter,10.086936309327717
SN2008aw,00031153003,54530.76275462963,U Filter,13.865164655508433,B Filter,15.672116709219997,V Filter,nan,UVM2 Filter,15.111208644943504,UVW1 Filter,15.02881127035239,UVW2 Filter,nan
SN2008aw,00031153005,54532.98813078704,U Filter,14.15280396861205,B Filter,15.944221016477973,V Filter,nan,UVM2 Filter,nan,UVW1 Filter,nan,UVW2 Filter,nan
SN2009bw,00031389002,54922.14399884259,U Filter,10.935737876943499,B Filter,12.310117008392357,V Filter,nan,UVM2 Filter,11.634654472059964,UVW1 Filter,11.418796580367601,UVW2 Filter,12.313763854738585
SN2009bw,00031389004,54923.18117476852,U Filter,10.921033103306003,B Filter,12.279563946645732,V Filter,nan,UVM2 Filter,11.658537618420763,UVW1 Filter,11.486139675306337,UVW2 Filter,nan
SN2009bw,00031389006,54924.183940972216,U Filter,10.936713528641175,B Filter,12.22549074640896,V Filter,13.303643406664907,UVM2 Filter,11.717909780894715,UVW1 Filter,11.461585581485132,UVW2 Filter,13.296261917091035
SN2012A,00032247006,55940.51135995371,U Filter,9.788082596735478,B Filter,9.677997200688498,V Filter,8.857589369157433,UVM2 Filter,12.319776244122686,UVW1 Filter,10.944758115816072,UVW2 Filter,9.906080447306405
SN2012A,00032247008,55941.374918981484,U Filter,9.785828686820125,B Filter,9.678397851657692,V Filter,8.861822148352825,UVM2 Filter,12.317748433140732,UVW1 Filter,10.950060720705828,UVW2 Filter,9.942925789383192
SN2012A,00032247012,55944.55724537037,U Filter,9.811566814661548,B Filter,9.681564219392113,V Filter,8.843289599458519,UVM2 Filter,12.391300797430082,UVW1 Filter,10.974956082728255,UVW2 Filter,9.903211546715287
SN2012A,00032247014,55945.42967013889,U Filter,9.935573979870465,B Filter,9.821519663598764,V Filter,8.972331714895882,UVM2 Filter,12.388558755722926,UVW1 Filter,11.064601352332868,UVW2 Filter,9.987190803301122
SN2012A,00032247018,55947.184166666666,U Filter,9.783173864957213,B Filter,9.676973531868992,V Filter,8.873848821650714,UVM2 Filter,12.316482480408627,UVW1 Filter,10.932082395409548,UVW2 Filter,9.90154218440379
SN2012aw,00032319001,56007.47976851852,U Filter,11.59344585043868,B Filter,12.5219296857904,V Filter,12.175426959137058,UVM2 Filter,11.76019820046037,UVW1 Filter,11.693795720806573,UVW2 Filter,12.97151837267898
SN2012aw,00032319002,56009.895162037035,U Filter,11.81571381148411,B Filter,12.695148658552457,V Filter,12.169449190494195,UVM2 Filter,12.480600696368043,UVW1 Filter,12.057268506189054,UVW2 Filter,12.237185381906581
SN2012aw,00032319003,56011.53601851852,U Filter,11.654407539484293,B Filter,12.525481180402053,V Filter,12.092723655186632,UVM2 Filter,12.816551518674915,UVW1 Filter,12.265713309319219,UVW2 Filter,nan
SN2012aw,00032319004,56014.66796875,U Filter,11.82411906716076,B Filter,12.581691654701288,V Filter,12.107213368458957,UVM2 Filter,13.898852152697632,UVW1 Filter,12.996506013867009,UVW2 Filter,nan
SN2012aw,00032319005,56016.504079861115,U Filter,11.95430003694968,B Filter,12.638267318988998,V Filter,12.21954018206647,UVM2 Filter,13.924858623803155,UVW1 Filter,13.779087440514516,UVW2 Filter,nan
SN2012aw,00032319006,56018.379079861115,U Filter,12.10264314043707,B Filter,12.67489745985138,V Filter,12.261702557609656,UVM2 Filter,14.357624769235787,UVW1 Filter,15.180460529640515,UVW2 Filter,nan
SN2012aw,00032315020,56028.475115740745,U Filter,13.837483609829956,B Filter,13.306728080407478,V Filter,12.766439336695077,UVM2 Filter,nan,UVW1 Filter,nan,UVW2 Filter,nan
SN2012aw,00032315022,56029.132552083334,U Filter,13.91757197131881,B Filter,13.33974597719618,V Filter,12.739200845567149,UVM2 Filter,nan,UVW1 Filter,nan,UVW2 Filter,nan
SN2012aw,00032315024,56031.37767939815,U Filter,14.190777615737634,B Filter,13.428014795645993,V Filter,12.767441093188797,UVM2 Filter,nan,UVW1 Filter,nan,UVW2 Filter,nan
SN2012aw,00032315026,56032.173871527775,U Filter,14.349983710622627,B Filter,13.479641202111539,V Filter,12.781261944748731,UVM2 Filter,nan,UVW1 Filter,nan,UVW2 Filter,nan
SN2013ej,00032891003,56504.835931712965,U Filter,10.93800442828441,B Filter,11.803915590781866,V Filter,11.281426699357112,UVM2 Filter,11.648215298427548,UVW1 Filter,11.221638872851589,UVW2 Filter,11.06697328790588
SN2013ej,00032891006,56507.067719907405,U Filter,11.052032663886234,B Filter,11.8720782172522,V Filter,11.402851683106306,UVM2 Filter,11.968654182866775,UVW1 Filter,11.417206809636047,UVW2 Filter,10.90250964046304
SN2013ej,00032891009,56508.86667824074,U Filter,11.189593129686317,B Filter,11.923035832193072,V Filter,11.459858673463682,UVM2 Filter,12.304758869579716,UVW1 Filter,11.679930274915348,UVW2 Filter,11.085620864757342
SN2013ej,00032891011,56511.43797453704,U Filter,11.419106375477314,B Filter,12.01589509732106,V Filter,11.556614120448211,UVM2 Filter,12.694804143277214,UVW1 Filter,12.00323506757855,UVW2 Filter,11.09521280543089
SN2013ej,00032891014,56512.16899305556,U Filter,11.490359727457516,B Filter,12.039650403681572,V Filter,11.575952076842857,UVM2 Filter,12.8277946147556,UVW1 Filter,12.151530040204621,UVW2 Filter,11.348487130883555
SN2013ej,00032891016,56513.17003472222,U Filter,11.586832849738698,B Filter,12.096857471591544,V Filter,11.658393229278655,UVM2 Filter,12.911308683067661,UVW1 Filter,12.17824695919564,UVW2 Filter,11.047642877579806
SN2016gkg,00034737001,57653.19965277778,U Filter,14.60369588107091,B Filter,15.457440543959384,V Filter,14.978459365836992,UVM2 Filter,14.717662912175184,UVW1 Filter,15.053490390466036,UVW2 Filter,nan
SN2016gkg,00034737003,57657.18391203704,U Filter,16.113847279963142,B Filter,16.859957140621884,V Filter,nan,UVM2 Filter,15.360514152303232,UVW1 Filter,15.574857704936894,UVW2 Filter,15.269585445110023
SN2017eaw,00010130004,57888.91638888889,U Filter,11.907989717605851,B Filter,12.827790995367803,V Filter,12.311024285983155,UVM2 Filter,12.24530550796387,UVW1 Filter,10.85314298453487,UVW2 Filter,8.762306456243701
SN2017eaw,00010130008,57895.78851273148,U Filter,12.31607521307908,B Filter,13.072303741776917,V Filter,12.541221067696487,UVM2 Filter,14.377878072493349,UVW1 Filter,13.041949141349889,UVW2 Filter,11.878392318770262
SN2017egm,0001015400_,57912.407864583336,U Filter,13.353594371961847,B Filter,13.9236145169704,V Filter,15.47859376491246,UVM2 Filter,13.423078094843998,UVW1 Filter,13.335988878830591,UVW2 Filter,14.104371754048717
SN2017egm,00010150014,57925.65299768519,U Filter,13.012286920198099,B Filter,13.807726649312688,V Filter,13.254938468016272,UVM2 Filter,13.329033049698353,UVW1 Filter,12.960308312882951,UVW2 Filter,12.110736890355536
ASASSN-14ha,00033411003,56912.826082175925,U Filter,11.161222645690454,B Filter,11.815844051261562,V Filter,11.277812110422666,UVM2 Filter,11.611566016052334,UVW1 Filter,11.431509358270107,UVW2 Filter,10.899437570136058
ASASSN-14ha,00033411011,56915.560069444444,U Filter,11.20153239275362,B Filter,11.825794505921186,V Filter,11.29318829265739,UVM2 Filter,11.891175221624618,UVW1 Filter,11.5856064519477,UVW2 Filter,11.256906427821503
